Gebied,Jaar,Waargenomen_bijen,LNG,LAT
Kalfjeslaan,2014,Bleekvlekwespbij - Gewone dubbeltand - Gewone dwergbloedbij - Gewone dwergzandbij - Gewone franjegroefbij - Gewone geurgroefbij - Gewone kleine wespbij - Gewone sachembij - Gewone slobkousbij - Grasbij - Grijze rimpelrug - Grijze zandbij - Grote bladsnijder - Grote klokjesbij - Grote wolbij - Matte bandgroefbij - Rood-Zwarte dubbeltand - Roodbuikje - Roodgatje - Rosse metselbij - Tronkenbij - Tuinbladsnijder - Tweekleurige zandbij - Vosje - Witbaardzandbij - Wormkruidbij,4.8770769,52.321957299999994
Kramatweg,2014,Blauwe metselbij - Dikkopbloedbij - Gewone franjegroefbij - Gewone geurgroefbij - Gewone kleine wespbij - Gewone maskerbij - Smalbandwespbij - Wormkruidbij,4.9464809999999995,52.3651396
Keizersgracht 177,2014,Grote bladsnijder - Tuinmaskerbij,4.885453,52.3745276
Kelbergen,2014,Gewone maskerbij - Matte bandgroefbij - Wormkruidbij,4.972348,52.310532200000004
Leusdenhof,2014,Gehoornde metselbij - Gewone geurgroefbij - Grasbij - Rood-Zwarte dubbeltand - Rosse metselbij - Tuinmaskerbij - Tweekleurige zandbij - Vosje - Wormkruidbij,4.9785712,52.3084723
Nieuwe Oosterbegraafplaats,2014,Duinzijdebij - Gewone dwergbloedbij - Gewone dwergzandbij - Gewone franjegroefbij - Gewone geurgroefbij - Gewone sachembij - Grasbij - Grote bladsnijder - Grote klokjesbij - Langkopsmaragdgroefbij - Parkbronsgroefbij - Rood-Zwarte dubbeltand - Roodgatje - Roodpotige groefbij - Rosse metselbij - Tuinbladsnijder - Tuinmaskerbij - Tweekleurige zandbij - Viltvlekzandbij - Wormkruidbij,4.9377592,52.3444563
Park Frankendael,2014,Andoornbij - Gewone dwergzandbij - Gewone franjegroefbij - Gewone geurgroefbij - Gewone maskerbij - Gewone sachembij - Gewone slobkousbij - Gewone wespbij - Goudpootzandbij - Grasbij - Grote bladsnijder - Grote klokjesbij - Grote wolbij - Ruige behangersbij - Tuinbladsnijder - Tuinmaskerbij - Tweekleurige zandbij - Vosje - Wormkruidbij,4.9309781,52.3504874
Piet Heinkade,2014,Duinzijdebij - Gewone geurgroefbij - Grasbij - Grote bladsnijder - Grote klokjesbij - Matte bandgroefbij - Pluimvoetbij - Resedamaskerbij - Tronkenbij - Tuinbladsnijder - Tuinmaskerbij - Tweekleurige zandbij,4.932093900000001,52.373547200000004
Ploegstraat,2014,Gewone maskerbij,4.9465239,52.342339200000005
Puttersplantsoen,2014,Wormkruidbij,4.9610722,52.316937100000004
